title,unit_price,description,date_updated
"Cheese - Cheddar, Medium",87,"Release Pericardium, Percutaneous Endoscopic Approach",04/07/2021
Buffalo - Striploin,88,Beam Radiation of Prostate using Electrons,08/11/2021
Plate Pie Foil,28,"Excision of L Ext Iliac Art, Perc Endo Approach, Diagn",16/03/2021
"Sugar - Sweet N Low, Individual",32,"Removal of Radioactive Element from Pleura, Perc Approach",16/11/2021
Syrup - Monin - Granny Smith,61,Stereotactic Other Photon Radiosurgery of Colon,18/07/2021
"Sparkling Wine - Rose, Freixenet",56,Fluoroscopy of Right Subclavian Vein,30/07/2021
Extract - Almond,71,"Drainage of Right Carpal Joint, Perc Endo Approach, Diagn",08/01/2022
Teriyaki Sauce,22,"Excision of Right Lower Extremity, Perc Approach, Diagn",11/07/2021
Carbonated Water - Wildberry,99,"Revision of Nonaut Sub in R Fibula, Perc Endo Approach",12/08/2021
"Wine - Red, Antinori Santa",99,"Repair Bilateral Breast, External Approach",20/09/2021
Bagel - Everything Presliced,46,"Change Other Device in Liver, External Approach",15/12/2021
Pear - Halves,98,"Destruction of Accessory Pancreatic Duct, Perc Endo Approach",07/09/2021
Dehydrated Kelp Kombo,38,"Revision of Monitoring Device in Trachea, Open Approach",21/07/2021
Lettuce - Red Leaf,32,CT Scan of Port/Splanch Vein using Intravasc Optic Cohere,21/11/2021
Ecolab - Hobart Upr Prewash Arm,22,"Bypass R Axilla Vein to Up Vein w Nonaut Sub, Open",12/11/2021
Water - Evian 355 Ml,100,"Removal of Synth Sub from R Clavicle, Perc Approach",11/12/2021
Muffin Batt - Carrot Spice,88,"Restriction of Gastric Art with Intralum Dev, Perc Approach",12/03/2021
Quail - Jumbo Boneless,57,"Bypass L Popl Art to Peron Art, Perc Endo Approach",27/07/2021
Wine - Lamancha Do Crianza,58,Aerobic Cap/Endur Assessment of Circ Body using Prosthesis,30/12/2021
Halibut - Steaks,40,"Destruction of Left Ethmoid Bone, Perc Endo Approach",13/04/2021
Cheese - Cheddar With Claret,41,"Supplement Large Intestine with Autol Sub, Open Approach",08/10/2021
Anchovy Fillets,66,Computerized Tomography (CT Scan) of Left Upper Arm,23/02/2021
Onions - Red Pearl,32,"Excision of Cervical Spinal Cord, Perc Endo Approach, Diagn",31/10/2021
Vanilla Beans,47,"Release Left Upper Leg Tendon, Open Approach",22/03/2021
Lid Tray - 16in Dome,50,"Introduction of Oth Therap Subst into Up GI, Via Opening",22/04/2021
Pears - Fiorelle,14,"Revision of Synthetic Substitute in Nose, External Approach",31/08/2021
Urban Zen Drinks,71,"Revision of Autol Sub in Low Back, Perc Endo Approach",10/05/2021
"Pork - Loin, Boneless",58,"Revision of Radioactive Element in Up Jaw, Extern Approach",07/10/2021
Tuna - Fresh,25,"Inspection of Upper Artery, Percutaneous Endoscopic Approach",19/03/2021
Wine - Ej Gallo Sierra Valley,4,"Drainage of Cerv Disc with Drain Dev, Perc Endo Approach",03/02/2022
Energy Drink,40,"Revision of Autol Sub in Occip Jt, Perc Endo Approach",22/05/2021
Lettuce - Escarole,19,"Revision of Nonaut Sub in Low Tendon, Perc Endo Approach",27/01/2022
Ginger - Crystalized,39,"Excision of Upper Artery, Percutaneous Approach",16/01/2022
Soup - Campbells Mushroom,37,"Insertion of Cardiac Lead into Coronary Vein, Perc Approach",31/10/2021
Fork - Plastic,57,"Dilate R Renal Art, Bifurc, w 2 Intralum Dev, Open",26/09/2021
Beef - Top Sirloin,89,"Dilation of 2 Cor Art, Perc Endo Approach",06/05/2021
Carbonated Water - Strawberry,42,"Inspection of Abdominal Wall, Perc Endo Approach",20/08/2021
"Corn - Cream, Canned",62,"Removal of Radioactive Element from L Breast, Perc Approach",29/08/2021
Steamers White,24,"Replace R Low Arm Skin w Nonaut Sub, Full Thick, Extern",19/05/2021
Chocolate Bar - Coffee Crisp,21,"Repair Left Hypogastric Vein, Open Approach",01/09/2021
Tea - Herbal - 6 Asst,17,"Supplement L Up Extrem with Synth Sub, Open Approach",07/04/2021
Wine - Muscadet Sur Lie,70,"Bypass R Com Iliac Art to L Com Ilia w Synth Sub, Perc Endo",01/04/2021
Truffle Cups Green,7,"Transfer L Thorax Muscle w Skin, Subcu, Perc Endo",26/10/2021
Bread - Rye,100,"Repair Left Breast, Percutaneous Approach",15/12/2021
Bread Fig And Almond,99,"Peripheral Nervous System, Insertion",07/11/2021
"Fish - Halibut, Cold Smoked",62,"Excision of Right Fibula, Open Approach, Diagnostic",11/09/2021
Appetizer - Mushroom Tart,95,"Revision of Autol Sub in L Sternoclav Jt, Extern Approach",23/06/2021
"Pasta - Rotini, Dry",39,"Repair Cervix, Via Natural or Artificial Opening Endoscopic",19/05/2021
"Chocolate - Pistoles, White",50,"Bypass L Face Vein to Up Vein with Nonaut Sub, Open Approach",09/07/2021
Soup - Campbells Asian Noodle,71,"Bypass Inf Mesent Vein to Low Vein w Autol Sub, Open",27/01/2022
Water - Spring Water 500ml,87,"Reposition Thoracolumbar Vertebral Joint, Perc Endo Approach",16/11/2021
Beer - Fruli,25,"Revision of Infusion Device in Fem Perineum, Open Approach",24/07/2021
Mussels - Frozen,46,"Drainage of Left External Iliac Artery, Open Approach",27/05/2021
Star Fruit,30,"Inspection of Upper Bursa and Ligament, External Approach",28/06/2021
Lady Fingers,2,Planar Nucl Med Imag of Bi Up Extrem using Technetium 99m,17/06/2021
Beer - Pilsner Urquell,51,"Introduce of Oth Anti-infect into Periph Art, Open Approach",04/12/2021
Garam Marsala,36,"Occlusion of Right Hepatic Duct, Open Approach",16/05/2021
"Flour - Corn, Fine",87,"Dilation of Abdominal Aorta with 2 Drug-elut, Open Approach",02/08/2021
Beer - Mcauslan Apricot,11,"Bypass L Subclav Art to R Low Leg Art w Synth Sub, Open",27/08/2021
Butter Sweet,94,"Division of Trunk Subcu/Fascia, Open Approach",11/01/2022
Puff Pastry - Sheets,81,"Drainage of Left Vas Deferens, Percutaneous Approach",04/03/2021
Cookie Dough - Double,3,"Dilation of L Radial Art with 4 Drug-elut, Perc Approach",07/03/2021
Cup - Translucent 7 Oz Clear,49,"Destruction of Thoracic Aorta, Descending, Open Approach",16/01/2022
Vodka - Moskovskaya,87,"Insertion of Infusion Device into Splenic Art, Open Approach",18/01/2022
Muffin - Bran Ind Wrpd,74,"Drainage of Left Vas Deferens, Open Approach, Diagnostic",25/01/2022
Fish - Bones,43,"Supplement Hepatic Vein with Synth Sub, Perc Endo Approach",14/01/2022
Pastry - Banana Muffin - Mini,40,Plain Radiography of L Subclav Vein using H Osm Contrast,13/07/2021
"Veal - Brisket, Provimi,bnls",97,"Control Bleeding in Right Lower Leg, Percutaneous Approach",06/05/2021
Pail For Lid 1537,99,"Phys Rehab & Diag Audiology, Rehab, Motor Trmt",06/01/2022
"Oil - Truffle, Black",35,"Transfer Facial Nerve to Vagus Nerve, Open Approach",01/09/2021
"Soup - Knorr, Ministrone",96,"Dilation of Duodenum with Intraluminal Device, Endo",08/07/2021
Swiss Chard,55,"Revision of Nonaut Sub in R Metacarpal, Extern Approach",19/11/2021
"Beef - Rib Roast, Capless",89,"Revision of Drainage Device in R Ankle Jt, Extern Approach",17/12/2021
Appetizer - Tarragon Chicken,9,"Extirpation of Matter from Left Knee Joint, Perc Approach",27/06/2021
Sherbet - Raspberry,54,"Revision of Synth Sub in R Finger Phalanx, Extern Approach",13/02/2021
Dome Lid Clear P92008h,84,"Restriction of Azygos Vein, Percutaneous Endoscopic Approach",28/06/2021
Flour - So Mix Cake White,46,"Supplement R Abd Tendon with Synth Sub, Perc Endo Approach",20/11/2021
Nacho Chips,93,"Occlusion of L Int Mamm Art with Extralum Dev, Perc Approach",02/10/2021
Cheese - Ricotta,65,Fluoroscopy of Sternum,06/07/2021
Chicken - Whole Roasting,43,"Supplement L Com Carotid with Nonaut Sub, Open Approach",20/01/2022
Corn Meal,98,"Restriction of Large Intestine, Percutaneous Approach",14/12/2021
Arizona - Green Tea,54,"Bypass Left Ventricle to R Int Mammary, Perc Endo Approach",21/11/2021
Bread - Italian Roll With Herbs,31,"Insertion of Int Fix into L Humeral Shaft, Perc Approach",20/08/2021
Macaroons - Two Bite Choc,98,"Repair Ear, Nose & Sinus in POC with Oth Dev, Open Approach",19/04/2021
Kiwi Gold Zespri,87,"Drainage of Left Tunica Vaginalis, Perc Approach, Diagn",29/09/2021
Cheese - Pied De Vents,35,"Drainage of Right External Ear, Open Approach",25/08/2021
Snapple - Iced Tea Peach,50,"Drainage of Pelvic Subcu/Fascia, Perc Approach, Diagn",30/09/2021
Jolt Cola - Electric Blue,19,"Restrict of Sup Mesent Art with Intralum Dev, Perc Approach",22/03/2021
Island Oasis - Banana Daiquiri,12,"Dilate Gastric Art, Bifurc, w 2 Drug-elut, Perc",12/01/2022
Olive - Spread Tapenade,22,"Insertion of Intracard Pacer into R Ventricle, Perc Approach",21/10/2021
Cheese Cheddar Processed,1,"Supplement R Toe Phalanx with Nonaut Sub, Perc Endo Approach",22/09/2021
French Kiss Vanilla,58,"Dilate Sup Mesent Art, Bifurc, w 4 Drug-elut, Perc",02/06/2021
Sausage - Liver,14,"Bypass L Int Iliac Art to L Ext Ilia w Autol Art, Open",27/02/2021
Chicken - Leg / Back Attach,57,"Repair Hepatobiliary and Pancreas in POC, Endo",24/11/2021
Smoked Paprika,57,"Division of Head Neck Symp Nrv, Perc Endo Approach",26/04/2021
Beef - Tender Tips,98,"Removal of Spacer from Right Shoulder Joint, Perc Approach",24/06/2021
Beer - Sleeman Fine Porter,53,MRI of Thoracic Disc using Oth Contrast,25/07/2021
Ham - Cooked Italian,52,"Destruction of Left Axillary Artery, Open Approach",17/11/2021
Salmon - Canned,97,Plain Radiography of L Salivary Gland using H Osm Contrast,10/06/2021
Wine - Guy Sage Touraine,99,"Replace of Scalp Subcu/Fascia with Autol Sub, Perc Approach",27/11/2021
Shrimp - Black Tiger 8 - 12,15,"Revision of Autol Sub in Face, Perc Approach",30/03/2021
Beef - Ox Tongue,36,"Drainage of Thor Symp Nrv with Drain Dev, Open Approach",20/10/2021
Sea Urchin,73,"Resection of Right Radius, Open Approach",07/07/2021
Sobe - Berry Energy,54,"Drainage of Lingula Bronchus with Drain Dev, Via Opening",03/05/2021
Cinnamon Buns Sticky,80,"Supplement R Temporomandib Jt w Synth Sub, Perc Endo",11/10/2021
Wine - Sicilia Igt Nero Avola,6,"Insertion of Infusion Device into Occip Jt, Open Approach",27/02/2021
Thyme - Dried,99,"Revision of Autol Sub in R Metatarsophal Jt, Open Approach",06/11/2021
Mince Meat - Filling,47,"Replace of R Metacarpal with Synth Sub, Perc Endo Approach",16/11/2021
Water - Tonic,34,"Bypass Cystic Duct to Small Intestine, Open Approach",02/10/2021
Noodles - Steamed Chow Mein,79,"Excision of Cervical Nerve, Open Approach",19/01/2022
Pastry - Plain Baked Croissant,66,"Revision of Nonaut Sub in R Ulna, Perc Endo Approach",04/05/2021
Numi - Assorted Teas,76,"Removal of Synth Sub from Low Vein, Perc Endo Approach",25/06/2021
"Potatoes - Yukon Gold, 80 Ct",12,"Insertion of Infusion Dev into L Ext Carotid, Perc Approach",27/11/2021
Bagels Poppyseed,56,"Removal of Feeding Device from Esophagus, Perc Endo Approach",09/01/2022
Wine - Placido Pinot Grigo,63,Ultrasonography of Right Hip,23/10/2021
"Shrimp, Dried, Small / Lb",52,"Removal of Monitor Dev from Up Intest Tract, Via Opening",02/08/2021
Cheese - Colby,39,"Repair Right Auditory Ossicle, Open Approach",15/08/2021
V8 - Berry Blend,71,"Insertion of Infusion Dev into Occip Jt, Perc Endo Approach",18/11/2021
Lettuce - Escarole,74,"Replace Perineum Skin w Synth Sub, Full Thick, Extern",30/03/2021
Steel Wool,4,"Measurement of Venous Pulse, Portal, Open Approach",10/12/2021
"Shrimp - 16/20, Peeled Deviened",20,"Restriction of L Renal Art with Intralum Dev, Perc Approach",27/08/2021
Bok Choy - Baby,40,"Destruction of Right Toe Phalanx, Open Approach",05/10/2021
Shichimi Togarashi Peppeers,54,"Reattachment of Right 4th Toe, Open Approach",25/04/2021
Kiwano,93,Ultrasonography of Gallbladder and Bile Ducts,20/12/2021
Cookie Dough - Chocolate Chip,35,"Extirpation of Matter from L Hypogast Vein, Open Approach",25/05/2021
Banana,74,Fluoroscopy of Left Hip using Other Contrast,20/07/2021
"Wine - Red, Gallo, Merlot",93,"Destruction of Right External Iliac Artery, Open Approach",19/07/2021
Chicken - Tenderloin,23,"Dilation of Pancreatic Duct with Intralum Dev, Via Opening",05/09/2021
Wine - Tribal Sauvignon,76,Plain Radiography of Bladder and Urethra,18/11/2021
"Ice - Clear, 300 Lb For Carving",58,"Occlusion of Lingula Bronchus with Intraluminal Device, Endo",24/12/2021
Sage - Rubbed,61,"Supplement Tricusp Valve fr R AV Vlv w Nonaut Sub, Perc Endo",18/01/2022
Cheese - Camembert,86,"Removal of Infusion Device from Resp Tract, Extern Approach",29/12/2021
Spice - Montreal Steak Spice,36,"Drainage of Lingula Bronchus, Open Approach, Diagnostic",23/02/2021
Lamb - Bones,28,LDR Brachytherapy of Spinal Cord using Oth Isotope,18/07/2021
Appetizer - Asian Shrimp Roll,3,Caregiver Training in Comm Skills using AV Equipment,10/07/2021
Fruit Salad Deluxe,78,"Insertion of Stimulator Lead into Ureter, Perc Approach",29/09/2021
Jagermeister,23,"Fusion 2-4 L Jt w Autol Sub, Ant Appr A Col, Open",29/08/2021
Bread Ww Cluster,24,"Insertion of Cardiac Lead into R Ventricle, Perc Approach",01/09/2021
Wine - Cabernet Sauvignon,14,"Insertion of Intralum Dev into L Brach Art, Perc Approach",27/08/2021
Cheese - Montery Jack,74,"Bypass R Pulm Art from Subclav w Nonaut Sub, Open",10/07/2021
Lettuce - Green Leaf,22,"CT Scan Liver & Spleen w L Osm Contrast, Unenh, Enhance",19/12/2021
Soup - Campbells,70,"Dilation of R Pulm Art with Intralum Dev, Perc Approach",31/03/2021
Juice - Lagoon Mango,30,"Insert of Intralum Dev into L Cephalic Vein, Perc Approach",21/09/2021
"Cherries - Maraschino,jar",58,"Bypass L Great Saphenous to Low Vein w Nonaut Sub, Perc Endo",23/07/2021
Bread - Pumpernickel,76,"Dilate R Foot Art, Bifurc, w 4+ Intralum Dev, Open",24/06/2021
Baking Powder,91,"Drainage of Left Carpal Joint, Open Approach",19/03/2021
Cheese - La Sauvagine,62,"Supplement Lower Gingiva with Nonaut Sub, Open Approach",04/02/2022
Kale - Red,75,"Excision of Right Middle Ear, Open Approach",09/03/2021
Extract - Rum,13,"Supplement Right Radius with Synth Sub, Open Approach",26/12/2021
Onions - Red,19,Change Traction Apparatus on Left Lower Arm,15/08/2021
Sobe - Berry Energy,91,"Drainage of Ampulla of Vater, Via Opening, Diagn",10/05/2021
Nestea - Iced Tea,28,"Excision of Cerebral Hemisphere, Percutaneous Approach",13/12/2021
Chivas Regal - 12 Year Old,75,"Repair Right Pulmonary Artery, Open Approach",06/10/2021
"Soup - Campbells, Butternut",84,"Fluoroscopy L Int Carotid w L Osm Contrast, Laser Intraop",09/04/2021
Island Oasis - Lemonade,37,"Drain of L Foot Subcu/Fascia with Drain Dev, Open Approach",14/12/2021
Lamb - Bones,88,"Reposition Left Internal Jugular Vein, Open Approach",06/10/2021
Initation Crab Meat,55,"Supplement R Ext Iliac Art with Synth Sub, Open Approach",26/01/2022
Potatoes - Parissienne,66,"Replace Post Neck Subcu/Fascia w Nonaut Sub, Open",09/01/2022
Eggs - Extra Large,31,"Insertion of Monitoring Device into Kidney, Open Approach",01/11/2021
Heavy Duty Dust Pan,23,"Bypass Stomach to Cutan with Nonaut Sub, Perc Endo Approach",14/12/2021
Pork - European Side Bacon,57,"Destruction of Right Knee Bursa and Ligament, Open Approach",29/12/2021
Pepper - Chilli Seeds Mild,9,"Drainage of Left Vocal Cord, Perc Endo Approach",07/03/2021
Wine - Pinot Noir Mondavi Coastal,27,"Bypass Jejunum to Cutaneous, Perc Endo Approach",18/11/2021
Sorrel - Fresh,53,"Bypass Sup Vena Cava to R Pulm Vn w Zooplastic, Open",01/10/2021
"Pork - Tenderloin, Fresh",44,"Excision of Vulva, Open Approach",12/08/2021
Lamb - Ground,97,"Inspection of Right Tympanic Membrane, External Approach",06/10/2021
Ostrich - Prime Cut,25,"Replace Buttock Subcu/Fascia w Nonaut Sub, Open",28/05/2021
Lotus Rootlets - Canned,33,"Revise Infusion Dev in R Sacroiliac Jt, Perc Endo",25/09/2021
Cheese - Oka,28,"Repair Left Atrium, Percutaneous Endoscopic Approach",13/09/2021
"Arctic Char - Fresh, Whole",48,"Revision of Drainage Device in C-thor Jt, Extern Approach",18/07/2021
Ham - Cooked Italian,85,MRI of Head/Neck Subcu using Oth Contrast,04/07/2021
Salt - Table,64,"Extirpation of Matter from L Tarsal Jt, Perc Endo Approach",05/12/2021
"Appetizer - Mini Egg Roll, Shrimp",45,"Drainage of Right Knee Region, Perc Endo Approach",16/04/2021
Grapefruit - White,13,"Change Other Device in Omentum, External Approach",15/10/2021
Jack Daniels,53,"Revision of Synth Sub in L Patella, Extern Approach",07/01/2022
Bar Mix - Lemon,98,"Bypass L Face Vein to Up Vein with Autol Sub, Open Approach",19/08/2021
Compound - Pear,92,"Restriction of Left Vertebral Vein, Open Approach",21/01/2022
Fuji Apples,57,"Removal of Drain Dev from R Wrist Jt, Perc Endo Approach",06/05/2021
Steampan Lid,32,"Repair Right Adrenal Gland, Open Approach",08/08/2021
Puree - Blackcurrant,85,"Pharmacotherapy for Substance Abuse Treatment, LAAM",04/05/2021
"Wine - Red, Concha Y Toro",34,"Division of R Foot Subcu/Fascia, Perc Approach",15/06/2021
Calypso - Lemonade,60,"Bypass L Subclav Art to R Extracran Art w Autol Vn, Open",16/08/2021
"Pork - Tenderloin, Frozen",26,"Repair Coronary Artery, Two Arteries, Open Approach",09/06/2021
Beans - Fine,14,"Repair Right Upper Lobe Bronchus, Endo",01/02/2022
"Brandy - Orange, Mc Guiness",4,"Transfer Pelvic Subcu/Fascia, Perc Approach",07/08/2021
"Beef - Roasted, Cooked",28,"Replacement of R Axilla Art with Autol Sub, Open Approach",14/07/2021
"Crab - Claws, 26 - 30",50,"Revision of Synthetic Substitute in Penis, Open Approach",11/03/2021
"Veal - Tenderloin, Untrimmed",34,"Remove Synth Sub from Low Intest Tract, Perc Endo",24/11/2021
Campari,3,"Occlusion R Colic Art w Intralum Dev, Perc Endo",28/04/2021
Pepper - Scotch Bonnet,23,"Removal of Autol Sub from T-lum Jt, Perc Approach",05/03/2021
Sprouts - Peppercress,82,"Introduction of Other Anti-infective into Upper GI, Endo",16/09/2021
Paste - Black Olive,12,"Drainage of Mediastinum with Drain Dev, Perc Endo Approach",17/06/2021
Spinach - Packaged,69,"Drainage of Nasal Bone with Drain Dev, Perc Endo Approach",03/08/2021
Turkey Tenderloin Frozen,8,"Drainage of Right Metatarsal, Open Approach, Diagnostic",12/05/2021
"Crush - Grape, 355 Ml",36,"Bypass R Axilla Art to R Low Arm Art w Nonaut Sub, Open",16/11/2021
Crab - Imitation Flakes,88,"Destruction of Prostate, Endo",03/03/2021
Scallops - 20/30,68,"Fluoroscopy R Renal Art w L Osm Contrast, Laser Intraop",25/05/2021
Ecolab - Hobart Upr Prewash Arm,63,"Revision of Ext Fix in R Humeral Head, Extern Approach",03/11/2021
Quail - Jumbo,100,"Supplement Lesser Omentum with Autol Sub, Perc Endo Approach",13/09/2021
Long Island Ice Tea,50,"Bypass Bladder to Cutaneous with Synth Sub, Perc Approach",22/04/2021
Jam - Apricot,37,"Reposition Thoracic Vertebra with Int Fix, Open Approach",07/02/2022
Steel Wool S.o.s,28,"Insertion of Other Device into L Knee, Perc Approach",11/06/2021
Soup Campbells - Tomato Bisque,29,Removal of Packing Material on Chest Wall,11/05/2021
Olives - Nicoise,59,"Fusion of R Metacarpophal Jt with Synth Sub, Perc Approach",30/06/2021
Steamers White,6,"Dilation of Left Internal Iliac Artery, Perc Approach",19/10/2021
Pepper - Green Thai,79,"Excision of Right Ankle Region, Percutaneous Approach, Diagn",01/11/2021
Petite Baguette,98,"Destruction of Hard Palate, External Approach",18/04/2021
"Soup - Knorr, Chicken Noodle",35,"Excision of Left Sphenoid Bone, Percutaneous Approach",04/05/2021
Tea - Lemon Green Tea,46,"Drainage of Perineum Tendon with Drain Dev, Perc Approach",15/02/2021
Ice Cream Bar - Oreo Sandwich,98,"Repair Pancreas, Open Approach",24/12/2021
Cookies - Englishbay Oatmeal,63,"Supplement R Ext Jugular Vein with Autol Sub, Open Approach",25/09/2021
Pea - Snow,24,"Extirpation of Matter from Portal Vein, Open Approach",22/02/2021
Oil - Hazelnut,57,"Dilate L Colic Art, Bifurc, w Intralum Dev, Open",10/12/2021
Ice Cream - Fudge Bars,47,"Excision of Lingula Bronchus, Endo, Diagn",02/03/2021
Lamb - Loin Chops,37,"Excision of Post Neck Subcu/Fascia, Open Approach",12/09/2021
Bagels Poppyseed,47,"Excision of Right Ventricle, Percutaneous Approach, Diagn",11/04/2021
Nori Sea Weed,53,"Extirpation of Matter from Endometrium, Endo",19/07/2021
Cake Sheet Combo Party Pack,96,"Insert Radioact Elem in R Pleural Cav, Perc Endo",13/08/2021
"Pasta - Fusili, Dry",15,"Release Right Spermatic Cord, Open Approach",05/12/2021
Butter Ripple - Phillips,72,"Excision of Right Inferior Parathyroid Gland, Open Approach",30/06/2021
"Pork - Tenderloin, Fresh",50,"Remove Drain Dev from L Tympanic Membrane, Extern",19/04/2021
Puree - Blackcurrant,42,"Restriction of Hepatic Vein, Open Approach",11/03/2021
Petite Baguette,14,"Transplantation of R Mid Lung Lobe, Allogen, Open Approach",22/06/2021
Icecream - Dibs,73,"Supplement R Temporomandib Jt with Synth Sub, Perc Approach",13/07/2021
"Syrup - Monin, Amaretta",14,"Transfer Trochlear Nerve to Accessory Nerve, Open Approach",02/09/2021
Wine - Fontanafredda Barolo,98,"Restriction of Aortic Lymph with Intralum Dev, Perc Approach",10/09/2021
Tomatoes - Hot House,75,Removal of Pressure Dressing on Left Foot,14/03/2021
Tomatoes - Grape,1,"Drainage of Pancreas with Drainage Device, Open Approach",13/04/2021
Corn Meal,64,"Resection of Perineum Muscle, Perc Endo Approach",03/06/2021
Cabbage - Green,68,"Bypass Duodenum to Duodenum, Open Approach",15/06/2021
Appetizer - Assorted Box,85,"Restrict R Ext Iliac Vein w Intralum Dev, Open",02/05/2021
Pork - Smoked Kassler,78,"Extirpation of Matter from Left Hip Muscle, Open Approach",25/02/2021
Mussels - Cultivated,58,"Drain of Lumbar Symp Nrv with Drain Dev, Perc Endo Approach",16/05/2021
Scrubbie - Scotchbrite Hand Pad,40,"MRI of Fetal Head using Oth Contrast, Unenh, Enhance",21/08/2021
"Yogurt - Raspberry, 175 Gr",52,"Drainage of Left Elbow Region, Percutaneous Approach, Diagn",10/04/2021
Cranberries - Fresh,39,"Measurement of Venous Pressure, Peripheral, Open Approach",02/11/2021
Wine - Dubouef Macon - Villages,28,"Drainage of Bone Marrow, Open Approach, Diagnostic",15/04/2021
Eggplant - Baby,85,"Insertion of Other Device into R Pleural Cav, Open Approach",06/02/2022
"Wine - White, Gewurtzraminer",79,"Revise Nonaut Sub in L Finger Phalanx Jt, Perc Endo",27/11/2021
Lid - 16 Oz And 32 Oz,41,"Removal of Radioact Elem from Pancreat Duct, Via Opening",16/07/2021
Onions - Spanish,40,"Insert of Monopln Ext Fix into R Radius, Perc Endo Approach",05/06/2021
Beer - Camerons Auburn,14,Immobilization of Left Toe using Cast,04/04/2021
"Bread - Roll, Canadian Dinner",80,"Revision of Int Fix in L Ankle Jt, Perc Approach",07/06/2021
Tuna - Sushi Grade,83,"Insertion of Epiret Prosth into L Eye, Open Approach",28/06/2021
Cheese - St. Andre,71,"Release Left Hip Joint, External Approach",25/08/2021
Scallop - St. Jaques,49,"Destruction of Facial Nerve, Percutaneous Approach",05/10/2021
Bread - Mini Hamburger Bun,31,"Fusion of L Shoulder Jt with Autol Sub, Perc Endo Approach",04/08/2021
Cloves - Ground,69,"Occlusion R Int Iliac Art w Intralum Dev, Open",03/10/2021
Nectarines,100,"Change Other Device in Bladder, External Approach",07/11/2021
Ginger - Crystalized,45,"Fusion of R Metacarpophal Jt with Synth Sub, Perc Approach",03/11/2021
Bar Special K,68,"Mental Health, Medication Management",04/10/2021
Snapple - Iced Tea Peach,72,"Supplement Dura Mater with Synth Sub, Open Approach",30/11/2021
Munchies Honey Sweet Trail Mix,69,"Removal of Nonaut Sub from L Eye, Perc Approach",14/03/2021
"Cheese - Boursin, Garlic / Herbs",36,"Repair Vagina, External Approach",21/07/2021
Island Oasis - Banana Daiquiri,89,"Drainage of Ileocecal Valve, Perc Endo Approach, Diagn",07/02/2022
"Soup - Knorr, Country Bean",57,"Division of L Low Leg Subcu/Fascia, Open Approach",19/09/2021
Celery,24,Removal of Brace on Left Thumb,11/12/2021
Kiwi Gold Zespri,16,"Reposition Thymus, Open Approach",25/12/2021
Quail - Jumbo Boneless,35,"Resection of Right Parotid Gland, Open Approach",07/09/2021
"Cheese - Cheddar, Old White",26,"Revise Nonaut Sub in Vagina & Cul-de-sac, Perc Endo",07/01/2022
Myers Planters Punch,14,"Occlusion of Right Fallopian Tube, Via Opening",14/11/2021
Bread - Crusty Italian Poly,34,"Dilation of R Com Carotid with Intralum Dev, Open Approach",06/01/2022
"Soup - Campbells, Beef Barley",19,"Drainage of L Low Leg Subcu/Fascia, Open Approach",02/01/2022
"Bread - Pullman, Sliced",16,Beam Radiation of Esophagus using Neutrons,23/09/2021
Coffee - Decafenated,68,"Dilate R Pulm Vein w Drug-elut Intra, Perc Endo",08/08/2021
Pork - Smoked Kassler,28,"Replace of Gastric Vein with Synth Sub, Perc Endo Approach",13/07/2021
Banana,40,"Division of Right Lower Femur, Open Approach",03/03/2021
Squid Ink,16,"Revision of Autol Sub in L Auditory Ossicle, Endo",02/03/2021
Wheat - Soft Kernal Of Wheat,21,"Reposition Lower Tooth, Single, External Approach",17/09/2021
Oven Mitts - 15 Inch,24,"Dilation of Left Main Bronchus, Open Approach",14/05/2021
Oil - Macadamia,88,"Revision of Synthetic Substitute in Omentum, Perc Approach",29/05/2021
Soup Bowl Clear 8oz92008,93,"Measurement of Gastrointestinal Pressure, Via Opening",25/07/2021
Dried Apple,51,"Replace L Com Iliac Art w Autol Sub, Perc Endo",13/02/2021
Juice - V8 Splash,90,"Drainage of Bi Adrenal Gland with Drain Dev, Perc Approach",10/06/2021
Dc Hikiage Hira Huba,95,"Replace of R Finger Phalanx with Autol Sub, Perc Approach",10/01/2022
"Wine - Red, Wolf Blass, Yellow",16,"Bypass Trans Colon to Desc Colon w Nonaut Sub, Perc Endo",01/08/2021
Langers - Cranberry Cocktail,16,"Supplement Right Face Vein with Nonaut Sub, Perc Approach",04/08/2021
Flavouring - Rum,40,Comm/Cognit Skill Treatment of Neuro Body using Oth Equip,22/08/2021
Lemon Balm - Fresh,98,"Dilate L Hand Art, Bifurc, w 2 Drug-elut, Open",04/04/2021
Truffle Shells - White Chocolate,97,"Introduction of Oth Antineoplastic into Bil/Panc Tract, Endo",09/08/2021
Wasabi Powder,15,"Destruction of Bilateral Spermatic Cords, Open Approach",07/07/2021
Water Chestnut - Canned,39,"Replacement of L Low Eyelid with Synth Sub, Perc Approach",07/12/2021
Lamb Shoulder Boneless Nz,99,"Repair Thoracic Vertebra, Open Approach",06/03/2021
Cookie Choc,40,"Restrict R Pulm Vein w Intralum Dev, Perc Endo",14/07/2021
"Soup - French Onion, Dry",34,"Bypass L Int Iliac Art to L Femor A w Autol Art, Perc Endo",09/01/2022
Butter Sweet,5,"Revision of Monitoring Device in Urethra, External Approach",31/07/2021
Otomegusa Dashi Konbu,5,Fluoroscopy of Left Common Carotid Artery,13/07/2021
